id,result
3988978,0.0
3988979,0.91
3989002,0.0
3989008,0.01
3989022,0.11
3989028,0.09
3989030,0.2857352941176471
3989031,0.07
3989037,0.0
3989040,0.10154485879232329
3989043,0.01
3989047,0.0
3989063,0.35
3989065,0.0
3989068,0.85
3989093,0.05067162032598274
3989103,0.023835521312439493
3989112,0.44
3989125,0.0
3989138,0.0
3989169,0.03
3989186,0.0
3989187,0.11714697334538142
3989188,0.05
3989191,0.0
3989194,0.09818593876754654
3989206,0.06054347826086957
3989207,0.31064010244706197
3989208,0.0
3989250,0.02277084129051829
3989260,0.09677904855151567
3989268,0.04
3989273,0.0
3989286,0.0
3989294,0.0
3989323,0.01
3989329,0.0
3989351,0.12648717287350697
3989366,0.052750500983497116
3989376,0.0323921331883855
3989396,0.3673502376377794
3989413,0.0
3989443,0.11176053901673788
3989449,0.53
3989452,0.38
3989483,0.09064516129032257
3989492,0.026702557992655862
3989502,0.02
3989503,0.02
3989519,0.0
3989525,0.15
3989535,0.0
3989536,0.0
3989546,0.538904254009296
3989549,0.0
3989559,0.07833675833361899
3989569,0.11
3989581,0.27
3989601,0.01
3989605,0.0
3989615,0.12
3989624,0.0
3989645,0.0
3989656,0.026007522046387153
3989673,0.0
3989675,0.01
3989679,0.0
3989680,0.0
3989691,0.0
3989696,0.4
3989720,0.06
3989722,0.01
3989727,0.34
3989728,0.05174913578208768
3989733,0.0
3989738,0.1504590592334495
3989752,0.0
3989754,0.010245264348317785
3989768,0.03
3989769,0.0
3989790,0.0
3989796,0.03055461044133504
3989800,0.0
3989804,0.01061172114939627
3989817,0.0
3989824,0.0
3989829,0.77
3989832,0.03
3989853,0.06101012382692979
3989871,0.0
3989876,0.0
3989878,0.0
3989882,0.0
3989893,0.4034568697953722
3989902,0.025522736418337407
3989907,0.0
3989909,0.022985782959466093
3989918,0.0
3989951,0.53
3989969,0.0314224369296833
3989991,0.02048424474676938
3990024,0.31
3990034,0.0
3990039,0.07784562031421396
3990084,0.0
3990086,0.01272934691299844
3990106,0.07
3990164,0.0
3990168,0.0
3990177,0.03286352585190671
3990183,0.039121388624973046
3990186,0.01
3990204,0.43
3990226,0.15189944134078212
3990235,0.0
3990236,0.0
3990248,0.0
3990250,0.0
3990260,0.07
3990263,0.0
3990286,0.09
3990294,0.0
3990325,0.4
3990329,0.021674349345248697
3990330,0.0
3990339,0.0
3990374,0.020238095238095236
3990379,0.02
3990412,0.08055555555555555
3990425,0.01
3990426,0.0
3990428,0.66
3990429,0.010425867507886434
3990441,0.0
3990449,0.06304592863344997
3990450,0.0
3990459,0.0329956827741068
3990469,0.0
3990476,0.04238305598501198
3990480,0.07
3990481,0.06
3990493,0.74
3990494,0.016117970245926247
3990509,0.01
3990518,0.007849545352085596
3990519,0.04
3990525,0.0
3990529,0.06122773216045986
3990534,0.0
3990537,0.03
3990550,0.2
3990566,0.06
3990576,0.014444456918910576
3990577,0.14153846153846153
3990582,0.04952688221631324
3990588,0.25133333333333335
3990589,0.02
3990592,0.04
3990611,0.01
3990612,0.0
3990623,0.0
3990625,0.02
3990644,0.0
3990645,0.04
3990669,0.024443741100570168
3990671,0.09337854716060065
3990697,0.0
3990703,0.34
3990705,0.07
3990726,0.03303820928634129
3990755,0.0
3990762,0.08117531484523464
3990779,0.043836735300840736
3990785,0.0010460924968811263
3990799,0.02686667271822678
3990804,0.675130548302872
3990827,0.06427073084875327
3990838,0.4214285714285714
3990888,0.0
3990889,0.0
3990909,0.01335529930816334
3990913,0.055659298184298024
3990925,0.0
3990933,0.84
3990947,0.026806193030194922
3990951,0.07
3990956,0.0
3990992,0.0
3991019,0.04
3991025,0.05068185593451206
3991039,0.03
3991051,0.0
3991055,0.01506090200524908
3991057,0.01
3991064,0.0
3991079,0.06501037107616142
3991101,0.1
3991118,0.0
3991122,0.01709331080440645
3991136,0.0
3991199,0.031104040254550838
3991220,0.0
3991233,0.01
3991235,0.09704745073311781
3991255,0.0
3991257,0.07
3991259,0.0
3991261,0.12
3991269,0.03176247948400789
3991283,0.0
3991295,0.06102762868871316
3991296,0.0
3991300,0.0
3991304,0.050666666666666665
3991315,0.0
3991330,0.01604394430675077
3991346,0.01
3991350,0.014825273992745336
3991359,0.13419623337107542
3991377,0.0
3991391,0.011955053303230146
3991400,0.0
3991409,0.0
3991422,0.02
3991451,0.0
3991453,0.0
3991461,0.011306982038189549
3991465,0.10033234699530647
3991492,0.0
3991496,0.0
3991512,0.0
3991527,0.04364293232644677
3991556,0.0003714702644581552
3991557,0.01
3991570,0.049920555796922665
3991579,0.08205381334691231
3991585,0.61
3991595,0.046843314111892666
3991613,0.0
3991617,0.12277255222694398
3991650,0.0030231724275922214
3991664,0.021970298059581683
3991668,0.0
3991678,0.0
3991684,0.014582306198863623
3991689,0.0
3991707,0.71
3991719,0.0
3991723,0.0
3991729,0.07046907423624456
3991738,0.06
3991746,0.6
